byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax,eligible,earn_nz,sd_nz
50,white,24,11282.4,8652.97,228,5.0,0.193,79,17,TAXAB,0.145,0.118,True,13980.669145,7420.03533924
50,white,25,11049.34,8652.49,220,1.5,0.209,79,17,TAXAB,0.123,0.086,True,13968.8242731,7339.27736329
50,white,26,10351.04,8095.71,214,1.5,0.154,79,17,TAXAB,0.098,0.061,True,12235.2718676,7376.78623423
50,white,27,10199.62,8017.86,226,4.0,0.177,79,17,TAXAB,0.093,0.075,True,12393.2199271,7136.25362394
50,white,28,11185.51,8548.76,184,8.0,0.19,79,17,TAXAB,0.114,0.098,True,13809.2716049,7347.89680734
50,white,29,11210.0,7937.03,231,3.0,0.169,79,17,TAXAB,0.082,0.061,True,13489.7713598,6712.2576127
50,white,30,10007.09,8072.05,199,1.5,0.171,79,17,TAXAB,0.09,0.075,True,12071.278649,7326.72534222
50,white,31,10544.44,8295.74,235,6.0,0.204,79,17,TAXAB,0.102,0.072,True,13246.7839196,7117.51668448
50,white,32,10395.6,7803.78,226,6.0,0.181,79,17,TAXAB,0.08,0.071,True,12693.040293,6722.81410731
50,white,33,10904.86,8297.18,215,3.0,0.2,79,17,TAXAB,0.098,0.074,True,13631.075,6992.33536162
50,white,34,9859.08,7720.07,216,6.0,0.194,79,17,TAXAB,0.065,0.06,True,12232.1091811,6702.06037222
50,white,35,11090.14,8119.13,222,3.0,0.18,79,17,TAXAB,0.099,0.077,True,13524.5609756,6889.56461848
50,white,36,10073.67,8453.81,233,6.0,0.21,79,17,TAXAB,0.103,0.086,True,12751.4810127,7504.55718528
50,white,37,10491.23,8292.14,208,3.0,0.216,79,17,TAXAB,0.125,0.077,True,13381.6709184,7001.75864421
50,white,38,10698.35,8044.01,231,3.0,0.195,79,17,TAXAB,0.082,0.056,True,13289.8757764,6777.8454491
50,white,39,11321.55,8671.45,237,4.0,0.181,79,17,TAXAB,0.143,0.105,True,13823.6263736,7564.67130382
50,white,40,11724.18,8582.66,211,7.0,0.161,79,17,TAXAB,0.152,0.09,False,13973.9928486,7507.23464113
50,white,41,10283.45,7891.88,211,7.0,0.18,79,17,TAXAB,0.085,0.066,False,12540.7926829,6902.50037073
50,white,42,10474.26,8138.38,204,7.0,0.201,79,17,TAXAB,0.098,0.074,False,13109.2115144,6953.6334741
50,white,43,11366.73,8240.18,237,6.0,0.152,79,17,TAXAB,0.093,0.068,False,13404.1627358,7263.70034659
50,white,44,10702.87,8899.98,202,8.0,0.213,79,17,TAXAB,0.109,0.079,False,13599.5806861,7826.46327818
50,white,45,10703.16,7961.34,238,4.0,0.189,79,17,TAXAB,0.097,0.084,False,13197.4845869,6725.71481446
50,white,46,11324.08,7648.2,209,1.5,0.134,79,17,TAXAB,0.1,0.077,False,13076.3048499,6680.83233031
50,white,47,11207.0,8477.06,215,7.0,0.186,79,17,TAXAB,0.116,0.088,False,13767.8132678,7281.75600086
50,white,48,10751.29,8193.38,215,1.5,0.195,79,17,TAXAB,0.112,0.084,False,13355.6397516,6972.11450001
50,white,49,11659.5,8597.68,211,5.0,0.18,79,17,TAXAB,0.118,0.1,False,14218.902439,7331.7509176
50,white,50,10453.62,8130.43,238,8.0,0.206,79,17,TAXAB,0.076,0.063,False,13165.768262,6895.41561562
50,white,51,10201.21,7861.07,204,3.0,0.206,79,17,TAXAB,0.069,0.049,False,12847.8715365,6620.06637854
50,white,52,11187.29,8323.88,212,1.5,0.175,79,17,TAXAB,0.113,0.094,False,13560.3515152,7197.54595355
50,white,53,11754.83,8262.17,213,9.0,0.141,79,17,TAXAB,0.108,0.07,False,13684.3189756,7284.55701557
50,white,54,11425.01,8205.0,214,5.0,0.136,79,17,TAXAB,0.098,0.065,False,13223.3912037,7357.87416491
50,white,55,10470.93,8013.42,182,3.0,0.209,79,17,TAXAB,0.099,0.077,False,13237.585335,6675.18431582
50,white,56,10958.01,8476.14,196,3.0,0.173,79,17,TAXAB,0.117,0.082,False,13250.3143894,7516.67673343
50,white,57,9896.45,7838.6,201,5.0,0.204,79,17,TAXAB,0.06,0.045,False,12432.7261307,6757.0473212
50,white,58,11942.92,8097.89,235,5.0,0.145,79,17,TAXAB,0.123,0.094,False,13968.3274854,6957.39270977
50,white,59,10414.63,8284.64,218,6.0,0.183,79,17,TAXAB,0.078,0.05,False,12747.4051408,7366.95705575
50,white,60,11514.5,7909.75,204,1.5,0.142,79,17,TAXAB,0.103,0.078,False,13420.1631702,6880.71749878
50,white,61,10745.62,8619.69,235,4.0,0.187,79,17,TAXAB,0.119,0.098,False,13217.2447724,7662.94217586
50,white,62,11183.24,8416.69,211,1.5,0.171,79,17,TAXAB,0.123,0.085,False,13490.0361882,7371.18694972
50,white,63,10160.67,8379.29,219,4.0,0.205,79,17,TAXAB,0.114,0.073,False,12780.7169811,7404.83168323
50,white,64,11178.45,8440.66,219,4.0,0.201,79,17,TAXAB,0.123,0.087,False,13990.5506884,7058.6506186
50,white,65,10503.29,8497.38,205,4.0,0.224,79,17,TAXAB,0.141,0.112,False,13535.1675258,7211.88684137
50,white,66,9325.56,8367.29,225,5.0,0.28,79,17,TAXAB,0.089,0.076,False,12952.1666667,7089.84052846
50,white,67,10732.63,7865.77,219,5.0,0.187,79,17,TAXAB,0.096,0.082,False,13201.2669127,6596.37336575
50,white,68,10630.53,8888.53,204,3.0,0.24,79,17,TAXAB,0.123,0.103,False,13987.5394737,7549.76260002
50,white,69,10485.85,8481.38,200,1.5,0.215,79,17,TAXAB,0.115,0.085,False,13357.7707006,7298.83308234
50,white,70,11108.45,8142.54,229,4.0,0.188,79,17,TAXAB,0.118,0.1,False,13680.3571429,6816.65734996
50,white,71,10823.54,8384.48,222,1.5,0.176,79,17,TAXAB,0.09,0.072,False,13135.3640777,7412.71085039
50,white,72,10610.07,8104.35,243,1.5,0.173,79,17,TAXAB,0.107,0.078,False,12829.5888755,7137.55318034
50,white,73,11395.76,8569.71,238,5.0,0.189,79,17,TAXAB,0.147,0.126,False,14051.4919852,7296.4228822
50,white,1,10978.3,8699.67,189,3.0,0.175,80,19,TAXAB,0.074,0.048,True,13307.030303,7794.22927347
50,white,2,12147.96,8635.46,234,3.0,0.141,80,19,TAXAB,0.085,0.077,True,14141.9790454,7655.86247774
50,white,3,12948.19,9161.53,225,4.0,0.173,80,19,TAXAB,0.129,0.102,True,15656.8198307,7686.55748467
