byr	race	year	type	interval	nj	nj0	p_xl	p_l	earnings	iweight	iweight_old	nsrvd	ps_r	ern74	ern75	ern76	ern77	ern78	ern79	ern80	ern81	ern82	ern83	ern84
50	1	82	ADJ	1	8537	1896.09	0.093773	0.0204097	12505.4	8.32121e-05	5.99369e-05	NA	0.3527	0.354887	0.4067	0.43717	0.552163	0.489165	0.557315	0.789748	0.728645	1	0.808913	0.710325
50	1	83	ADJ	2	7310	1666.07	0.0972158	0.0200601	13207.4	6.61785e-05	4.66425e-05	NA	0.1933	0.387296	0.398485	0.44456	0.566851	0.503557	0.533789	0.701517	0.634369	0.808913	1	0.790676
50	1	84	ADJ	2	7303	1739.59	0.109687	0.0194598	13806.9	5.76171e-05	4.05864e-05	NA	0.1933	0.408793	0.408106	0.423393	0.488475	0.429488	0.485616	0.62411	0.666854	0.710325	0.790676	1
51	1	74	ADJ	69	243	32.076	0.0184332	0.00576037	7811.19	9.32417e-06	6.90495e-06	1348	0.0550204	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	8	221	28.067	0	0.0366552	8043.34	9.0729e-06	6.5443e-06	4931	0.223122	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	9	269	32.011	0.0215664	0.0124858	7461.52	1.07653e-05	8.31247e-06	5094	0.188667	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	4	272	29.104	0.0201568	0.012318	7804.19	1.09444e-05	8.4938e-06	5463	0.200846	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	64	213	34.08	0.0107143	0.0119048	8627.98	7.14765e-06	4.85633e-06	1204	0.0562617	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	12	197	22.064	0.0405405	0.0225225	8593.86	6.10675e-06	4.77243e-06	4412	0.222828	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	10	225	27	0.0454545	0.0147727	8497.18	6.56309e-06	5.13999e-06	5127	0.225859	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	48	226	23.956	0.0145414	0	7875.19	9.3689e-06	7.20112e-06	1590	0.0700441	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	32	246	30.996	0.0423341	0.01373	8485.04	7.81279e-06	5.92516e-06	2110	0.0857724	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	54	215	32.895	0.0330578	0.0165289	8489.86	5.49942e-06	4.15271e-06	1417	0.0656019	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	72	234	37.908	0.0310263	0.00954654	8766.23	7.45828e-06	5.10072e-06	1366	0.0583761	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	67	197	34.081	0.0241838	0.00604595	8528.05	5.84302e-06	4.05032e-06	1336	0.0678173	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	41	218	35.098	0.0488677	0.0166865	8345.12	6.26857e-06	4.57839e-06	1504	0.0686758	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	5	233	30.057	0.0447761	0.00459242	8505.06	7.7595e-06	5.77276e-06	4778	0.203319	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	36	206	31.93	0.0177515	0.00473373	8038.34	7.45642e-06	5.24136e-06	1598	0.0771981	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	7	240	24	0.0233333	0.00444444	7709.24	8.30208e-06	6.78404e-06	5170	0.213636	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	43	228	26.904	0.0204082	0.0147392	7731.86	7.56269e-06	5.99945e-06	1286	0.0561572	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	58	232	32.944	0.039627	0.00582751	8323.28	7.88182e-06	5.72372e-06	1556	0.065654	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	55	224	32.032	0.0105017	0.0210035	8432.86	7.68295e-06	5.4739e-06	1478	0.0651101	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	30	219	33.945	0.00591716	0.0378698	8778.92	6.77069e-06	4.71802e-06	2273	0.10379	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	6	239	34.894	0.0199063	0.00468384	7567.98	8.6383e-06	6.41005e-06	5138	0.210574	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	47	243	34.992	0.0245327	0.0046729	8174.86	9.432e-06	6.60724e-06	1396	0.0569796	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	49	219	31.974	0.0269321	0.0316159	8352.57	6.27173e-06	4.70095e-06	1460	0.0660634	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	53	269	33.894	0.0171625	0.00800915	7953.45	9.35078e-06	7.12504e-06	1427	0.0526568	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	23	220	25.96	0.015873	0	8038.95	9.4445e-06	6.91291e-06	4028	0.183091	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	37	244	43.92	0.0243902	0.0256098	8880.44	7.30021e-06	4.83993e-06	1686	0.0688163	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	1	226	25.99	0.020339	0.019209	7861.63	7.41279e-06	5.88867e-06	5197	0.227939	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	60	230	29.9	0.0344828	0.0206897	8587.22	7.28249e-06	5.43694e-06	1185	0.0512987	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	22	242	27.104	0.0281532	0.0326577	8418.49	7.45177e-06	5.87199e-06	4705	0.192828	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	26	230	43.01	0.0319803	0.0159902	8154.33	7.3059e-06	4.95994e-06	2620	0.111966	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	59	246	34.932	0.027972	0.0151515	8734.16	8.69895e-06	6.05436e-06	1440	0.0585366	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	29	230	25.07	0.0190797	0.020202	7983.11	8.1665e-06	6.41842e-06	2264	0.0984348	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	33	220	34.98	0.0273484	0.00475624	7920.09	7.73905e-06	5.49855e-06	2169	0.0985909	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	68	228	35.112	0.036643	0.00472813	8287.37	7.78804e-06	5.50649e-06	1439	0.0625652	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	56	237	32.943	0.0348432	0.00929152	8799.78	7.30826e-06	5.31427e-06	1300	0.0548523	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	42	229	27.938	0.0398633	0.0148064	8065.59	6.70867e-06	5.34125e-06	1709	0.0746288	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	19	230	32.89	0.0198366	0.0210035	7816.47	8.57174e-06	6.24111e-06	4812	0.209217	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	57	239	44.932	0.0160099	0.0246305	8759.34	6.75754e-06	4.51689e-06	1296	0.054	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	44	198	24.948	0.0514874	0.0240275	8739.81	5.61044e-06	4.31676e-06	1571	0.07855	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	73	205	28.085	0.0336037	0.0115875	8528.24	7.16591e-06	5.14466e-06	1578	0.0769756	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	13	203	36.946	0.0183374	0.0122249	8032.97	6.32842e-06	4.39267e-06	4651	0.22799	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	31	181	26.064	0.0455607	0.0128505	8161.12	5.08405e-06	3.90206e-06	2212	0.120874	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	16	202	23.028	0.0112867	0.0225734	8334.7	7.4304e-06	5.60458e-06	4605	0.226847	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	14	214	29.104	0.0219907	0.0104167	8391.2	8.14912e-06	5.76077e-06	5242	0.240459	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	45	236	34.928	0.0199531	0.0152582	8550.97	8.24206e-06	5.73723e-06	1375	0.0580169	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	24	227	27.921	0.0148233	0.0205245	8187.87	8.67231e-06	6.40108e-06	4022	0.174113	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	62	248	47.12	0.0246914	0.00493827	7411.88	7.82791e-06	5.60095e-06	1578	0.06312	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	70	213	31.95	0.0223529	0.0105882	7717.32	6.65517e-06	5.03429e-06	1446	0.0678873	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	46	249	38.097	0.0283353	0.0094451	8278.7	8.12607e-06	5.82637e-06	1453	0.05812	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	20	240	32.88	0.0196987	0.00926999	7960.56	9.49621e-06	6.82495e-06	4390	0.179918	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	65	223	35.011	0.0213523	0.00474496	7915.19	8.50784e-06	5.92037e-06	1560	0.0699552	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	11	233	37.047	0.0309156	0.00951249	7776.91	7.64902e-06	5.60235e-06	4658	0.199914	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	63	252	34.02	0.0323699	0.0138728	8243.09	8.1599e-06	6.11548e-06	1709	0.0672835	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
51	1	74	ADJ	25	220	25.08	0.020316	0.010158	8491.28	7.9714e-06	5.99031e-06	3930	0.176233	1	0.762856	0.702351	0.569335	0.623188	0.49198	0.545571	0.461483	0.359582	0.196619	0.323685
