,byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax
146,44,1,1,13416.33,9835.74,178,4.0,0.18,80,19,TAXAB,0.163,0.129
147,44,1,2,14440.54,12122.95,182,5.0,0.17,80,19,TAXAB,0.242,0.187
148,44,1,3,14357.08,10159.09,208,1.5,0.212,80,19,TAXAB,0.188,0.154
149,44,1,4,14070.08,10187.21,206,1.5,0.204,80,19,TAXAB,0.18,0.165
150,44,1,5,15191.58,10177.3,207,0.0,0.135,80,19,TAXAB,0.213,0.184
151,44,1,6,14420.88,9707.68,176,6.0,0.159,80,19,TAXAB,0.188,0.148
152,44,1,7,13554.7,10449.24,192,1.5,0.198,80,19,TAXAB,0.198,0.167
153,44,1,8,13084.71,9952.78,143,5.0,0.252,80,19,TAXAB,0.175,0.147
154,44,1,9,14154.63,9794.08,198,4.0,0.182,80,19,TAXAB,0.157,0.136
155,44,1,10,12830.96,10209.2,221,8.0,0.226,80,19,TAXAB,0.167,0.131
156,44,1,11,14331.66,10754.09,175,5.0,0.206,80,19,TAXAB,0.24,0.171
157,44,1,12,12854.42,10161.87,161,7.0,0.224,80,19,TAXAB,0.13,0.106
158,44,1,13,14408.09,10659.92,185,8.0,0.195,80,19,TAXAB,0.232,0.178
159,44,1,14,13984.98,9825.88,185,5.0,0.146,80,19,TAXAB,0.2,0.162
160,44,1,15,13738.47,10402.07,162,4.0,0.204,80,19,TAXAB,0.198,0.16
161,44,1,16,14379.6,12945.2,135,6.0,0.207,80,19,TAXAB,0.185,0.141
162,44,1,17,14927.43,10170.77,191,4.0,0.178,80,19,TAXAB,0.22,0.168
163,44,1,18,14485.3,10224.16,192,3.0,0.182,80,19,TAXAB,0.229,0.224
164,44,1,19,13188.75,10425.38,196,1.5,0.204,80,19,TAXAB,0.173,0.143
165,44,1,20,13743.51,10729.64,179,0.0,0.212,80,19,TAXAB,0.218,0.179
166,44,1,21,14203.56,10383.41,216,5.0,0.199,80,19,TAXAB,0.241,0.185
167,44,1,22,12958.73,10177.11,202,3.0,0.223,80,19,TAXAB,0.188,0.153
168,44,1,23,13458.52,11122.21,191,4.0,0.188,80,19,TAXAB,0.173,0.136
169,44,1,24,14289.88,10093.6,177,8.0,0.153,80,19,TAXAB,0.203,0.169
170,44,1,25,14602.09,10713.45,161,1.5,0.199,80,19,TAXAB,0.23,0.186
171,44,1,26,13132.58,9519.45,182,7.0,0.187,80,19,TAXAB,0.143,0.121
172,44,1,27,14187.76,10226.15,148,5.0,0.189,80,19,TAXAB,0.236,0.196
173,44,1,28,14492.66,10245.9,184,7.0,0.163,80,19,TAXAB,0.217,0.174
174,44,1,29,13983.63,10488.57,197,7.0,0.198,80,19,TAXAB,0.208,0.162
175,44,1,30,13521.96,11048.47,169,5.0,0.249,80,19,TAXAB,0.183,0.136
176,44,1,31,13638.56,10664.2,187,1.5,0.214,80,19,TAXAB,0.187,0.155
177,44,1,32,15091.09,10534.71,207,4.0,0.179,80,19,TAXAB,0.213,0.164
178,44,1,33,14584.55,10094.9,162,1.5,0.148,80,19,TAXAB,0.241,0.198
179,44,1,34,14228.37,10634.16,216,0.0,0.185,80,19,TAXAB,0.194,0.134
180,44,1,35,14400.14,10133.41,190,3.0,0.211,80,19,TAXAB,0.179,0.132
181,44,1,36,13903.39,9912.43,171,4.0,0.164,80,19,TAXAB,0.181,0.146
182,44,1,37,14189.67,10293.16,169,3.0,0.178,80,19,TAXAB,0.201,0.136
